Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Data Structures,Linked List,Easy,Why can pointer arithmetic like array indexing not be used directly on a linked list?,Nodes are not stored in contiguous memory,Linked lists are read-only,Linked lists cannot store integers,Nodes do not have addresses,Nodes are not stored in contiguous memory,"Since nodes may be scattered anywhere in memory, there is no fixed offset formula to jump to a given position."
Data Structures,Linked List,Easy,What does a self-referential structure mean in the context of a linked list node?,A structure that contains a pointer to another instance of the same structure type,A structure that references a global variable,A structure with no fields,A structure that calls itself as a function,A structure that contains a pointer to another instance of the same structure type,A node is self-referential because it holds a pointer to another node of the same type.
Data Structures,Linked List,Easy,What is a sentinel or dummy node used for in linked list implementations?,To store the largest value in the list,To simplify edge-case handling such as empty lists or insertion at the head,To act as the actual head of the list that stores data,To mark the list as sorted,To simplify edge-case handling such as empty lists or insertion at the head,A sentinel node acts as a placeholder so that insertion and deletion code does not need special cases for the head.
Data Structures,Linked List,Easy,How would you check if a singly linked list is empty?,Check if head equals null,Check if head equals the last node,Check if the list length is negative,Check if the first node's data is zero,Check if head equals null,"An empty list has no nodes, so its head reference points to null."
Data Structures,Linked List,Easy,"In C, which keyword or operation is typically used to allocate memory for a new linked list node?",delete,malloc,static,const,malloc,"In C, malloc dynamically allocates heap memory for a new node at runtime."
Data Structures,Linked List,Easy,What commonly happens in a language without automatic garbage collection if a deleted node's memory is not explicitly freed?,The program crashes immediately,A memory leak occurs,The list becomes circular,The next pointer becomes invalid,A memory leak occurs,"The memory once used by the removed node stays allocated but unreachable, gradually wasting memory."
Data Structures,Linked List,Easy,Which of these is a common real-world application of a doubly linked list?,Implementing browser forward and backward navigation,Implementing constant-time array indexing,Performing binary search,Storing a fixed-size lookup table,Implementing browser forward and backward navigation,A doubly linked list lets the browser move both forward and backward between visited pages efficiently.
Data Structures,Linked List,Easy,How would a music player's next and previous song feature be naturally modeled using a linked list?,Using a singly linked list traversed only forward,Using a doubly linked list where each song links to the next and previous song,Using an array with fixed size,Using a stack only,Using a doubly linked list where each song links to the next and previous song,A doubly linked list allows moving to both the next and previous song using the next and prev pointers.
Data Structures,Linked List,Easy,"In a polynomial represented using a linked list, what does each node typically store?",Only the coefficient,Only the exponent,Both coefficient and exponent of a term,The polynomial's degree only,Both coefficient and exponent of a term,"Each node represents one term of the polynomial, so it needs both the coefficient and the exponent."
Data Structures,Linked List,Easy,What is the main reason linked lists are commonly used to implement adjacency lists in graph representations?,They allow easy addition of new neighboring vertices without resizing,They provide constant-time access to any vertex,They automatically sort vertices,They use less memory than any other structure,They allow easy addition of new neighboring vertices without resizing,"Since the number of neighbors per vertex varies, a dynamically growable linked list avoids needing a fixed size."
Data Structures,Linked List,Easy,What is the length of a linked list typically determined by?,Traversing the list from head to tail and counting nodes,Reading a fixed size attribute set at creation,Dividing total memory by node size,It cannot be determined,Traversing the list from head to tail and counting nodes,"Since there is no direct indexing, the number of nodes is found by walking the list and incrementing a counter."
Data Structures,Linked List,Easy,Which statement about a singly linked list's tail node is correct?,It always has two pointers,Its next pointer is null in a non-circular list,It stores the head's address,It cannot store data,Its next pointer is null in a non-circular list,"The tail is the last node, and in a non-circular list its next pointer signals the end by being null."
Data Structures,Linked List,Easy,Which of the following is true about the size of a linked list during program execution?,It is fixed once declared,It can grow or shrink as nodes are added or removed,It must be declared in advance like an array,"It can only grow, never shrink",It can grow or shrink as nodes are added or removed,"Nodes are allocated and freed dynamically, so the list size changes freely at runtime."
Data Structures,Linked List,Easy,Why is maintaining a separate tail pointer useful for a singly linked list?,It allows O(1) insertion at the end,It allows O(1) access to the middle element,It removes the need for a head pointer,It automatically sorts the list,It allows O(1) insertion at the end,"With a tail reference, a new node can be appended directly without traversing the whole list."
Data Structures,Linked List,Easy,What kind of search is typically performed to find a value in a singly linked list?,Binary search,Linear search,Hash-based search,Interpolation search,Linear search,"Without random access, each node must be checked one after another to find the target value."
Data Structures,Linked List,Easy,Which best describes how a node's next pointer is typically initialized when it is created but not yet linked to the list?,It points to itself,It is set to null,It is left uninitialized permanently,It points to the head,It is set to null,"A newly created standalone node has no successor yet, so its next pointer is initialized to null."
Data Structures,Linked List,Easy,"In an array of objects versus a linked list of objects, what is a key structural difference?",Array elements are indexed and contiguous; linked list nodes are connected via references,Both are always stored contiguously,Linked lists cannot hold objects,Arrays cannot hold objects,Array elements are indexed and contiguous; linked list nodes are connected via references,"Arrays use index-based contiguous storage, while linked lists connect separately allocated nodes through pointers."
Data Structures,Linked List,Easy,What must be true for two singly linked lists to be considered structurally identical?,They have the same head address only,They have the same sequence of node values and the same length,They just need to have the same length,They must both be circular,They have the same sequence of node values and the same length,Structural identity requires equal values in the same order and the same length in both lists.
Data Structures,Linked List,Easy,Which basic operation does NOT require traversal in an already-referenced doubly linked list node?,Deleting the given node,Finding the head of the list,Sorting the entire list,Counting all nodes,Deleting the given node,"Since the node already has direct prev and next references, it can be unlinked without walking the list."
Data Structures,Linked List,Easy,What is the initial value typically assigned to the head pointer of a newly created empty linked list?,Zero,null,A pointer to itself,An empty string,null,"Before any nodes exist, the head has nothing to reference, so it is set to null."
