Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Data Structures,Queue,Easy,What is a Queue in data structures?,A linear data structure that follows First In First Out order,A linear data structure that follows Last In First Out order,A hierarchical data structure,A collection of key-value pairs,A linear data structure that follows First In First Out order,"A queue allows insertion at the rear and removal from the front, so the first element added is the first removed."
Data Structures,Queue,Easy,What does FIFO stand for in the context of a queue?,First In First Out,First In Final Out,Fast In Fast Out,First Index First Out,First In First Out,FIFO means the earliest inserted element is the first one to be removed.
Data Structures,Queue,Easy,Which operation adds an element to a queue?,Push,Enqueue,Pop,Peek,Enqueue,Enqueue is the standard term for inserting an element at the rear of a queue.
Data Structures,Queue,Easy,Which operation removes an element from a queue?,Push,Enqueue,Dequeue,Peek,Dequeue,Dequeue removes and returns the element currently at the front of the queue.
Data Structures,Queue,Easy,At which end of a queue are new elements typically inserted?,Front,Rear,Middle,Either end randomly,Rear,"New elements are added at the rear, keeping the front reserved for removal."
Data Structures,Queue,Easy,At which end of a queue are elements typically removed?,Front,Rear,Middle,Either end randomly,Front,"Elements are removed from the front, which holds the earliest inserted element."
Data Structures,Queue,Easy,What is the time complexity of the enqueue operation in a queue implemented using a linked list with both head and tail pointers?,O(1),O(n),O(log n),O(n^2),O(1),"With a direct tail pointer, a new node can be linked at the rear without traversing the list."
Data Structures,Queue,Easy,What is the time complexity of the dequeue operation in a queue implemented using a linked list?,O(1),O(n),O(log n),O(n^2),O(1),"Removing the front node only requires updating the head pointer, without traversal."
Data Structures,Queue,Easy,What happens when you try to dequeue from an empty queue?,It returns zero,Queue Underflow occurs,The queue automatically grows,It returns the last element,Queue Underflow occurs,Attempting to remove an element when none exist is called underflow.
Data Structures,Queue,Easy,What happens when you try to enqueue an element into a full queue of fixed size?,Queue Overflow occurs,The oldest element is silently discarded always,The enqueue is retried automatically,The queue resizes itself always,Queue Overflow occurs,Adding to a queue that has no more capacity causes an overflow condition.
Data Structures,Queue,Easy,Which of the following is a common real-world analogy for a queue?,A stack of plates,People waiting in a line at a ticket counter,A pile of books,A binary tree of folders,People waiting in a line at a ticket counter,"People join at the back of the line and are served from the front, matching FIFO order."
Data Structures,Queue,Easy,Which data structure can be used to implement a queue?,Array only,Linked List only,Both array and linked list,Neither array nor linked list,Both array and linked list,A queue is an abstract concept that can be implemented using either contiguous arrays or linked nodes.
Data Structures,Queue,Easy,What is the main limitation of implementing a simple queue using a fixed-size array without circular indexing?,"Space at the front becomes unusable after several dequeues, wasting capacity",It cannot support enqueue,It cannot support dequeue,It cannot store integers,"Space at the front becomes unusable after several dequeues, wasting capacity","As elements are dequeued from the front, that freed space is not reused, eventually preventing further enqueues even though space exists."
