Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Data Structures,Trees,Easy,What is a tree in data structures?,A linear structure with elements in sequence,"A hierarchical structure with nodes connected by edges, having one root",A collection of unrelated nodes,A structure that only stores numbers,"A hierarchical structure with nodes connected by edges, having one root","A tree organizes data hierarchically, starting from a single root node and branching into child nodes."
Data Structures,Trees,Easy,What is the topmost node of a tree called?,Leaf,Root,Child,Sibling,Root,The root is the single starting node from which all other nodes in the tree descend.
Data Structures,Trees,Easy,What is a leaf node in a tree?,A node with no children,The root node,A node with exactly two children,Any node with siblings,A node with no children,Leaf nodes are the terminal nodes at the bottom of the tree that have no further children.
Data Structures,Trees,Easy,What is the term for a node that has no parent in a tree?,Leaf,Root,Sibling,Child,Root,The root node is unique in having no parent above it in the hierarchy.
Data Structures,Trees,Easy,What is a binary tree?,A tree where each node has at most two children,A tree where each node has exactly three children,A tree with only leaf nodes,A tree with no root,A tree where each node has at most two children,"In a binary tree, every node can have a left child and a right child, with no more than two children total."
Data Structures,Trees,Easy,What are the two children of a node in a binary tree commonly called?,Left child and right child,First child and second child,Top child and bottom child,Primary and secondary,Left child and right child,Binary tree nodes distinguish their two possible children as the left child and the right child.
Data Structures,Trees,Easy,What is the height of a tree?,The number of leaf nodes,The number of edges on the longest path from root to a leaf,The total number of nodes,The number of levels containing only leaves,The number of edges on the longest path from root to a leaf,Height measures how many edges must be traversed from the root to reach the deepest leaf.
Data Structures,Trees,Easy,What is the depth of the root node in a tree?,1,0,-1,Equal to the tree's height,0,The root is at depth 0 since no edges need to be traversed to reach it from itself.
Data Structures,Trees,Easy,What is a Binary Search Tree (BST)?,A binary tree where the left subtree contains smaller values and the right subtree contains larger values than the node,A binary tree that is always balanced,A binary tree with no duplicate structure rules,A tree used only for searching strings,A binary tree where the left subtree contains smaller values and the right subtree contains larger values than the node,"The BST property orders nodes so that a node's left subtree holds smaller values and its right subtree holds larger values, enabling efficient search."
Data Structures,Trees,Easy,"Which traversal visits the left subtree, then the root, then the right subtree?",Preorder,Inorder,Postorder,Level order,Inorder,"Inorder traversal processes left subtree, current node, and right subtree in that sequence."
Data Structures,Trees,Easy,"Which traversal visits the root first, then the left subtree, then the right subtree?",Preorder,Inorder,Postorder,Level order,Preorder,Preorder traversal processes the current node before recursively visiting its left and right subtrees.
