```csv
Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Operating System,OS Fundamentals,Easy,What is an operating system?,"System software that manages computer hardware and provides services to application programs","A hardware device that performs calculations","A programming language used to write applications","A database management system","System software that manages computer hardware and provides services to application programs","An operating system is system software that acts as an intermediary between users, application programs, and computer hardware."
Operating System,OS Fundamentals,Easy,What is the primary purpose of an operating system?,"To manage hardware resources and provide an environment for application programs","To replace all application software","To manufacture computer hardware","To provide only internet access","To manage hardware resources and provide an environment for application programs","The operating system manages resources such as the CPU, memory, storage, and I/O devices while providing services to applications."
Operating System,OS Fundamentals,Easy,Which of the following is an example of an operating system?,"Microsoft Windows","Microsoft Word","Google Chrome","Adobe Photoshop","Microsoft Windows","Microsoft Windows is an operating system that manages computer resources and provides a platform for applications."
Operating System,OS Fundamentals,Easy,Which component of an operating system is responsible for managing the CPU?,"Process management","File management","Device management","User interface","Process management","Process management handles the creation, scheduling, synchronization, and termination of processes and coordinates their use of the CPU."
Operating System,OS Fundamentals,Easy,Which operating system component manages the computer's main memory?,"Memory management","File management","Process management","Network management","Memory management","Memory management keeps track of memory usage, allocates and deallocates memory, and manages the movement of data between memory and storage."
Operating System,OS Fundamentals,Easy,Which operating system component manages files and directories?,"File system management","Process management","CPU scheduling","Device drivers","File system management","The file system organizes, stores, retrieves, and protects files and directories on storage devices."
Operating System,OS Fundamentals,Easy,What is the kernel?,"The core component of an operating system that manages hardware and provides essential system services","A user application that runs on top of the operating system","A type of secondary storage","A programming language","The core component of an operating system that manages hardware and provides essential system services","The kernel operates with high privilege and handles core functions such as process management, memory management, and hardware interaction."
Operating System,OS Fundamentals,Easy,What is a system call?,"A programmatic interface through which a user program requests a service from the operating system","A command used only to shut down a computer","A hardware interrupt generated by a keyboard","A type of file stored by the operating system","A programmatic interface through which a user program requests a service from the operating system","System calls provide the interface between user-level programs and operating system services such as file operations, process creation, and memory management."
Operating System,OS Fundamentals,Easy,What is a process?,"A program that is currently executing","A program stored permanently on a disk","A hardware component","A type of operating system","A program that is currently executing","A process is an instance of a program in execution, along with its associated state and resources."
Operating System,OS Fundamentals,Easy,What is a thread?,"The smallest unit of CPU execution within a process","A physical processor","A file stored on disk","A memory management technique","The smallest unit of CPU execution within a process","A thread represents a path of execution within a process and shares many resources with other threads of the same process."
Operating System,OS Fundamentals,Easy,What is multitasking?,"The ability of an operating system to execute multiple tasks by rapidly switching the CPU among them","The ability to install multiple operating systems","The process of increasing CPU clock speed","The process of storing multiple files","The ability of an operating system to execute multiple tasks by rapidly switching the CPU among them","Multitasking allows multiple programs or tasks to make progress by sharing processor time."
Operating System,OS Fundamentals,Easy,What is multiprogramming?,"Keeping multiple programs in memory so the CPU can switch to another when one waits","Running only one program at a time","Installing multiple CPUs in a computer","Using multiple hard drives","Keeping multiple programs in memory so the CPU can switch to another when one waits","Multiprogramming improves CPU utilization by allowing another program to execute when the current program is waiting for an event such as I/O."
Operating System,OS Fundamentals,Easy,What is time-sharing?,"A technique that allows multiple users or processes to interact with a computer system by allocating CPU time slices","A method for sharing files between computers","A method of dividing a hard disk","A technique for increasing memory capacity","A technique that allows multiple users or processes to interact with a computer system by allocating CPU time slices","Time-sharing provides interactive computing by rapidly switching the processor among users or processes."
Operating System,OS Fundamentals,Easy,What is a device driver?,"Software that allows the operating system to communicate with a hardware device","A physical component of a computer","A user application","A type of file system","Software that allows the operating system to communicate with a hardware device","Device drivers provide the software interface needed for the operating system to control and communicate with specific hardware devices."
Operating System,OS Fundamentals,Easy,What is booting?,"The process of starting a computer and loading the operating system","The process of deleting an operating system","The process of formatting a file","The process of creating a user account","The process of starting a computer and loading the operating system","During booting, firmware or a bootloader initializes hardware and loads the operating system kernel into memory."
Operating System,OS Fundamentals,Easy,What is a batch operating system?,"An operating system that processes jobs in batches with little or no direct user interaction","An operating system designed only for mobile phones","An operating system that supports only one instruction","An operating system used exclusively for gaming","An operating system that processes jobs in batches with little or no direct user interaction","Batch systems collect jobs and execute them with minimal interaction from users during execution."
Operating System,OS Fundamentals,Easy,What is a real-time operating system?,"An operating system designed to provide responses within specified timing constraints","An operating system that only runs in real time on the internet","An operating system that never uses interrupts","An operating system designed only for word processing","An operating system designed to provide responses within specified timing constraints","Real-time operating systems are designed so that tasks can meet defined timing requirements, which is important in control and embedded systems."
Operating System,OS Fundamentals,Easy,What is virtual memory?,"A memory-management technique that provides processes with a logical address space larger than available physical memory","A type of physical RAM","A method of increasing CPU speed","A type of secondary storage device","A memory-management technique that provides processes with a logical address space larger than available physical memory","Virtual memory uses techniques such as paging to give processes a virtual address space while using physical memory and secondary storage as needed."
Operating System,OS Fundamentals,Easy,What is a file?,"A named collection of related data stored on secondary storage","A CPU register","A running process","A hardware interrupt","A named collection of related data stored on secondary storage","A file provides a logical way to organize and store data so that it can be accessed and managed by the operating system."
Operating System,OS Fundamentals,Easy,What is a directory?,"A structure used to organize and store information about files and other directories","A CPU scheduling algorithm","A hardware device","A type of process","A structure used to organize and store information about files and other directories","Directories provide a hierarchical organization for files and subdirectories."
Operating System,OS Fundamentals,Easy,What is protection in an operating system?,"Controlling access to system resources to prevent unauthorized use","Protecting only the computer from physical damage","Increasing processor speed","Backing up every file automatically","Controlling access to system resources to prevent unauthorized use","Protection mechanisms control how processes and users access resources and help prevent unauthorized or unsafe operations."
Operating System,OS Fundamentals,Easy,What is security in an operating system?,"Measures used to protect system resources and data from unauthorized access and attacks","A method of increasing memory capacity","A technique for scheduling processes","A method of compressing files","Measures used to protect system resources and data from unauthorized access and attacks","Operating system security includes mechanisms such as authentication, authorization, access control, and protection against malicious activity."
