Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Data Structures,Graphs,Easy,What is a graph in data structures?,A collection of vertices connected by edges,A linear sequence of elements,A hierarchical structure with a single root,A collection of key-value pairs,A collection of vertices connected by edges,"A graph consists of nodes, called vertices, and connections between them, called edges."
Data Structures,Graphs,Easy,What is a vertex in a graph?,A connection between two nodes,A node in the graph,The weight of an edge,The total number of edges,A node in the graph,A vertex represents a single point or entity in the graph structure.
Data Structures,Graphs,Easy,What is an edge in a graph?,A node in the graph,A connection between two vertices,The total number of vertices,A weight assigned to a vertex,A connection between two vertices,An edge represents the relationship or link between two vertices in the graph.
Data Structures,Graphs,Easy,What is a directed graph?,A graph where edges have a direction from one vertex to another,A graph where edges have no direction,A graph with no edges,A graph with only one vertex,A graph where edges have a direction from one vertex to another,"In a directed graph, each edge points from a source vertex to a destination vertex, indicating a one-way relationship."
Data Structures,Graphs,Easy,What is an undirected graph?,A graph where edges have a specific direction,A graph where edges have no direction and can be traversed both ways,A graph with no vertices,A graph with only self-loops,A graph where edges have no direction and can be traversed both ways,"In an undirected graph, an edge between two vertices represents a two-way connection with no inherent direction."
Data Structures,Graphs,Easy,What is a weighted graph?,A graph where each edge has an associated numerical value or cost,A graph with no edges,A graph where all vertices have the same degree,A graph that cannot be traversed,A graph where each edge has an associated numerical value or cost,"Weighted graphs assign a cost, distance, or other numerical value to each edge, useful for problems like shortest path."
Data Structures,Graphs,Easy,What is an unweighted graph?,A graph where all edges are considered to have equal or no specific weight,A graph with no vertices,A graph that must be directed,A graph with only one edge,A graph where all edges are considered to have equal or no specific weight,"In an unweighted graph, edges simply represent connections without any associated cost or value."
Data Structures,Graphs,Easy,What are the two most common ways to represent a graph in memory?,Adjacency matrix and adjacency list,Array and linked list only,Stack and queue,Binary tree and heap,Adjacency matrix and adjacency list,"Graphs are typically represented using an adjacency matrix, a 2D grid of connections, or an adjacency list, a list of neighbors per vertex."
Data Structures,Graphs,Easy,What is an adjacency matrix?,A 2D array where each cell indicates whether an edge exists between two vertices,A list of vertices only,A single array storing all edges,A tree structure representing connections,A 2D array where each cell indicates whether an edge exists between two vertices,"An adjacency matrix uses a grid where rows and columns represent vertices, and each cell shows if an edge connects them."
Data Structures,Graphs,Easy,What is an adjacency list?,A representation where each vertex stores a list of its neighboring vertices,A 2D grid of all possible connections,A single sorted array of all vertices,A representation limited to directed graphs only,A representation where each vertex stores a list of its neighboring vertices,"An adjacency list associates each vertex with a list of the vertices it is directly connected to, saving space for sparse graphs."
Data Structures,Graphs,Easy,What is the degree of a vertex in an undirected graph?,The number of edges connected to that vertex,The total number of vertices in the graph,The shortest path from that vertex to the root,The weight of the heaviest edge,The number of edges connected to that vertex,"A vertex's degree counts how many edges are incident to it, reflecting its number of direct connections."
Data Structures,Graphs,Easy,What is a path in a graph?,"A sequence of vertices connected by edges, typically without repeating vertices",A single isolated vertex,A cycle that returns to the starting vertex,The total number of edges in the graph,"A sequence of vertices connected by edges, typically without repeating vertices","A path represents a route through the graph, moving from one vertex to another via connecting edges."
Data Structures,Graphs,Easy,What is a cycle in a graph?,A path that starts and ends at the same vertex without repeating other vertices or edges,A graph with no edges,A path with only one vertex,A graph that cannot be traversed,A path that starts and ends at the same vertex without repeating other vertices or edges,"A cycle forms a closed loop, returning to its starting point after traversing a sequence of distinct vertices and edges."
Data Structures,Graphs,Easy,What does it mean for a graph to be connected?,There is a path between every pair of vertices,Every vertex has the same degree,The graph has no cycles,The graph has exactly one edge,There is a path between every pair of vertices,"In a connected graph, you can reach any vertex from any other vertex by following a sequence of edges."
Data Structures,Graphs,Easy,Which traversal algorithm explores as far as possible along a branch before backtracking?,Breadth-First Search,Depth-First Search,Dijkstra's Algorithm,Topological Sort,Depth-First Search,"DFS dives deep into one path before exploring alternative branches, using backtracking once a dead end is reached."
Data Structures,Graphs,Easy,Which traversal algorithm explores all neighbors of a vertex before moving to the next level?,Breadth-First Search,Depth-First Search,Kruskal's Algorithm,Prim's Algorithm,Breadth-First Search,"BFS visits all vertices at the current distance from the source before moving farther out, processing level by level."
Data Structures,Graphs,Easy,Which data structure is commonly used to implement BFS?,Stack,Queue,Priority Queue only,Binary Tree,Queue,"BFS relies on a queue to ensure vertices are processed in the order they are discovered, maintaining the level-by-level exploration."
Data Structures,Graphs,Easy,Which data structure or technique is commonly used to implement DFS?,Queue only,Stack or recursion,Priority Queue only,Hash Map only,Stack or recursion,"DFS is naturally implemented using recursion, which relies on the call stack, or explicitly using a stack data structure."
Data Structures,Graphs,Easy,What is a self-loop in a graph?,An edge that connects a vertex to itself,An edge with no weight,A cycle involving all vertices,A vertex with no edges,An edge that connects a vertex to itself,A self-loop is a special edge where both endpoints are the same vertex.
Data Structures,Graphs,Easy,What is a simple graph?,A graph with no self-loops and no multiple edges between the same pair of vertices,A graph with only one vertex,A graph that is always directed,A graph with no edges at all,A graph with no self-loops and no multiple edges between the same pair of vertices,A simple graph avoids self-loops and does not allow more than one edge directly connecting the same pair of vertices.
