Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Operating System,Threads,Easy,What is a thread?,The smallest unit of CPU execution within a process,A separate program that runs independently of any process,A type of file stored on disk,A hardware component of the CPU,The smallest unit of CPU execution within a process,"A thread represents a single sequential flow of control within a process, sharing the process's resources."
Operating System,Threads,Easy,What does it mean for a process to be 'multithreaded'?,The process contains multiple threads of execution running within the same process,The process runs on multiple separate computers,The process has multiple copies of its entire memory space,The process cannot execute any instructions,The process contains multiple threads of execution running within the same process,"A multithreaded process has more than one thread of control, allowing it to perform multiple tasks concurrently within the same process."
Operating System,Threads,Easy,Which of the following resources are typically shared among all threads within the same process?,"Code section, data section, and open files",Individual stack and register values,Individual thread IDs,Individual program counters,"Code section, data section, and open files","Threads within the same process share the process's code, global data, and open files, while each thread maintains its own stack, registers, and program counter."
Operating System,Threads,Easy,"Which of the following is unique to each individual thread, rather than shared across threads in the same process?","Its own stack, program counter, and register set",The process's code section,The process's global data section,The process's open file descriptors,"Its own stack, program counter, and register set","Each thread has its own execution context, including a private stack, program counter, and register values, even though other resources are shared."
Operating System,Threads,Easy,What is the primary benefit of using multiple threads within a single process instead of multiple separate processes?,"Threads within a process share memory, making communication and resource sharing simpler and more efficient than between separate processes",Threads always run on a completely separate computer,Threads require more memory than separate processes for the same task,Threads cannot share any resources with each other,"Threads within a process share memory, making communication and resource sharing simpler and more efficient than between separate processes","Since threads share the same address space, they can communicate directly through shared memory without the more complex inter-process communication mechanisms processes require."
Operating System,Threads,Easy,What is a user-level thread?,A thread that is managed by a thread library in user space without direct kernel involvement,A thread that is managed directly by the operating system kernel,A thread that can only be created by the kernel,A thread that has no stack of its own,A thread that is managed by a thread library in user space without direct kernel involvement,"User-level threads are implemented and managed by a user-space library, without the kernel being directly aware of individual threads."
Operating System,Threads,Easy,What is a kernel-level thread?,"A thread that is created, scheduled, and managed directly by the operating system kernel",A thread that exists only within user-space libraries,A thread that never requires CPU scheduling,A thread that cannot be created by any process,"A thread that is created, scheduled, and managed directly by the operating system kernel","Kernel-level threads are recognized and managed directly by the OS kernel, which handles their scheduling and other management tasks."
Operating System,Threads,Easy,What is the primary advantage of user-level threads over kernel-level threads?,"Thread management operations, such as creation and switching, can be performed quickly without kernel intervention",User-level threads always provide true parallel execution on multiple CPUs,User-level threads require the kernel to manage every context switch,User-level threads cannot be implemented on any modern operating system,"Thread management operations, such as creation and switching, can be performed quickly without kernel intervention","Because user-level threads are managed entirely by a user-space library, operations like creation and switching avoid the overhead of a kernel system call."
Operating System,Threads,Easy,What is a key disadvantage of user-level threads compared to kernel-level threads?,"If one user-level thread makes a blocking system call, the entire process may be blocked, since the kernel is unaware of individual threads",User-level threads always run slower than kernel-level threads,User-level threads cannot share memory with each other,User-level threads require significantly more memory than kernel-level threads,"If one user-level thread makes a blocking system call, the entire process may be blocked, since the kernel is unaware of individual threads","Since the kernel only sees the process as a whole, a blocking call by one user-level thread can block all threads in that process, unlike with kernel-level threads."
Operating System,Threads,Easy,What is the main purpose of multithreading in an application?,"To allow multiple tasks within a program to be performed concurrently, improving responsiveness and resource utilization",To reduce the total amount of code needed for a program,To eliminate the need for the operating system entirely,To prevent a program from ever using the CPU,"To allow multiple tasks within a program to be performed concurrently, improving responsiveness and resource utilization","Multithreading enables a program to perform several operations seemingly at once, improving responsiveness, especially in interactive or I/O-heavy applications."
