Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Data Structures,Stack,Easy,What is a Stack in data structures?,A linear data structure that follows Last In First Out order,A linear data structure that follows First In First Out order,A hierarchical data structure,A collection of key-value pairs,A linear data structure that follows Last In First Out order,"A stack allows insertion and removal only at one end, so the last element added is the first removed."
Data Structures,Stack,Easy,What does LIFO stand for in the context of a stack?,Last In First Out,Last In Final Out,Least In First Out,Last Index First Out,Last In First Out,LIFO means the most recently inserted element is the first one to be removed.
Data Structures,Stack,Easy,Which operation adds an element to the top of a stack?,Push,Pop,Peek,Enqueue,Push,Push is the standard term for inserting an element onto the top of a stack.
Data Structures,Stack,Easy,Which operation removes the top element from a stack?,Push,Pop,Peek,Dequeue,Pop,Pop removes and returns the element currently at the top of the stack.
Data Structures,Stack,Easy,What does the peek (or top) operation do in a stack?,Removes the top element,Returns the top element without removing it,Removes the bottom element,Adds an element to the bottom,Returns the top element without removing it,Peek only inspects the top element and does not modify the stack.
Data Structures,Stack,Easy,What is the time complexity of the push operation in a stack implemented using an array?,O(1),O(n),O(log n),O(n^2),O(1),Adding an element at the top only requires placing it at the next free index and updating the top pointer.
Data Structures,Stack,Easy,What is the time complexity of the pop operation in a stack implemented using an array?,O(1),O(n),O(log n),O(n^2),O(1),Removing the top element only requires reading it and decrementing the top index.
Data Structures,Stack,Easy,What happens when you try to pop from an empty stack?,It returns zero,Stack Underflow occurs,The stack automatically grows,It returns the bottom element,Stack Underflow occurs,Attempting to remove an element when there is nothing to remove is called underflow.
Data Structures,Stack,Easy,What happens when you try to push an element onto a full stack of fixed size?,Stack Overflow occurs,The oldest element is removed automatically,The push is silently ignored,The stack resizes itself,Stack Overflow occurs,Adding to a stack that has no more capacity causes an overflow condition.
Data Structures,Stack,Easy,Which end of a stack is used for both insertion and deletion?,Only the bottom,Only the top,Both ends equally,The middle,Only the top,"All stack operations occur exclusively at the top, which is what distinguishes it from other structures."
Data Structures,Stack,Easy,Which of the following is a common real-world analogy for a stack?,A queue of people waiting in line,A stack of plates where you take from the top,A row of lockers,A circular track,A stack of plates where you take from the top,"Plates are added and removed from the top of the pile, mirroring LIFO behavior."
Data Structures,Stack,Easy,Which data structure can be used to implement a stack?,Array only,Linked List only,Both array and linked list,Neither array nor linked list,Both array and linked list,A stack is an abstract concept that can be implemented using either contiguous arrays or linked nodes.
Data Structures,Stack,Easy,What is the initial value of the top pointer/index for an empty array-based stack?,0,-1,1,n (the array size),-1,A top index of -1 conventionally indicates that no elements are currently present in the stack.
Data Structures,Stack,Easy,Which of the following applications commonly uses a stack?,Function call management in programming languages,Breadth-first search in graphs,Round-robin CPU scheduling,Implementing a priority queue,Function call management in programming languages,"The call stack tracks function calls so that control returns to the most recent caller first, matching LIFO order."
