Subject,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Operating System,Process Management,Easy,What is a process?,A program in execution,A program stored on disk that is not running,A hardware device,A type of file system,A program in execution,"A process is the active, running instance of a program, distinct from the static program stored on disk."
Operating System,Process Management,Easy,Which of the following best describes the 'new' state of a process?,The process is being created,The process is currently executing on the CPU,The process is waiting for an I/O operation,The process has finished execution,The process is being created,"The new state represents a process that is in the process of being created but has not yet been admitted to the ready queue."
Operating System,Process Management,Easy,Which of the following best describes the 'ready' state of a process?,The process is waiting to be assigned to a processor,The process is currently executing on the CPU,The process is waiting for an I/O operation,The process has finished execution,The process is waiting to be assigned to a processor,"A process in the ready state is prepared to execute but is waiting for CPU allocation by the scheduler."
Operating System,Process Management,Easy,Which of the following best describes the 'running' state of a process?,The process is currently executing instructions on the CPU,The process is waiting for CPU allocation,The process is waiting for I/O completion,The process has completed execution,The process is currently executing instructions on the CPU,"A process enters the running state when it has been selected by the CPU scheduler and is actively executing instructions."
Operating System,Process Management,Easy,Which of the following best describes the 'waiting' or 'blocked' state of a process?,The process is waiting for some event or I/O operation to complete,The process is currently executing on the CPU,The process is waiting to be admitted into memory,The process has completed execution,The process is waiting for some event or I/O operation to complete,"A blocked process cannot continue execution until a particular event, such as an I/O operation, occurs."
Operating System,Process Management,Easy,Which of the following best describes the 'terminated' state of a process?,The process has finished execution,The process is waiting for CPU allocation,The process is currently executing,The process is waiting for I/O,The process has finished execution,"A process enters the terminated state after it has completed its execution or has been explicitly terminated."
Operating System,Process Management,Easy,What is a Process Control Block (PCB)?,A data structure maintained by the operating system containing information about a process,A hardware component used to execute processes,A file containing the source code of a process,A type of CPU register,A data structure maintained by the operating system containing information about a process,"The PCB stores important process information such as process ID, state, program counter, CPU registers, and scheduling information."
Operating System,Process Management,Easy,Which of the following is typically stored in a Process Control Block?,Process state,CPU scheduling information,Program counter,All of the above,All of the above,"The PCB contains all of these details and more, allowing the operating system to manage and resume the process correctly."
Operating System,Process Management,Easy,What is a Process ID (PID)?,A unique identifier assigned to a process,A physical memory address of a process,A CPU register,A file name,A unique identifier assigned to a process,"The operating system assigns a unique process ID to identify and manage each process."
Operating System,Process Management,Easy,What is a parent process?,A process that creates another process,A process that is waiting for its child,A process that has terminated,A process that is blocked,A process that creates another process,"The process that creates a new process is called the parent process, while the newly created process is called the child process."
Operating System,Process Management,Easy,What is a child process?,A process created by another process,A process that creates another process,A process waiting for I/O,A process that has finished execution,A process created by another process,"A child process is created by a parent process using system calls such as fork()."
Operating System,Process Management,Easy,What system call is commonly used in Unix/Linux to create a new process?,fork(),exec(),wait(),exit(),fork(),"The fork() system call creates a new child process by duplicating the calling process."
Operating System,Process Management,Easy,What is the purpose of the exec() system call?,To replace the current process image with a new program,To create a new process,To terminate a process,To wait for a child process,To replace the current process image with a new program,"The exec() family of system calls replaces the current process's memory image with a new program."
Operating System,Process Management,Easy,What is the purpose of the wait() system call?,To allow a parent process to wait for a child process to terminate,To create a new process,To replace a process image,To allocate memory,To allow a parent process to wait for a child process to terminate,"The wait() system call allows a parent to wait until one of its child processes finishes execution."
Operating System,Process Management,Easy,What is the purpose of the exit() system call?,To terminate the calling process,To create a new process,To pause the process indefinitely,To start a new program,To terminate the calling process,"The exit() system call terminates the current process and returns an exit status to the operating system."
Operating System,Process Management,Easy,What is context switching?,The process of saving the state of one process and loading the state of another process,The process of creating a new process,The process of deleting a process,The process of allocating disk space,The process of saving the state of one process and loading the state of another process,"Context switching allows the CPU to switch from one process to another by saving and restoring their execution contexts."
Operating System,Process Management,Easy,What is the program counter in a PCB used for?,It stores the address of the next instruction to be executed,It stores the process ID,It stores the size of the process,It stores the process priority,It stores the address of the next instruction to be executed,"The program counter keeps track of the next instruction that the process should execute."
Operating System,Process Management,Easy,What is process scheduling?,Selecting a process from the ready queue to execute on the CPU,Creating a new process,Deleting all processes,Allocating files to a process,Selecting a process from the ready queue to execute on the CPU,"The CPU scheduler selects a process from the ready queue and allocates the CPU to it."
Operating System,Process Management,Easy,What is the ready queue?,A queue containing processes that are ready to execute,A queue containing completed processes,A queue containing processes waiting for files,A queue containing terminated processes,A queue containing processes that are ready to execute,"Processes in the ready queue are waiting for CPU allocation."
